2021-01-01,Neujahr
2021-01-06,Heilige drei Könige
2021-04-04,Ostersonntag
2021-04-05,Ostermontag
2021-05-01,Staatsfeiertag
2021-05-06,Christi Himmelfahrt
2021-05-23,Pfingstsonntag
2021-05-24,Pfingstmontag
2021-06-03,Fronleichnam
2021-08-15,Mariä Himmelfahrt
2021-10-26,Nationalfeiertag
2021-11-01,Allerheiligen
2021-12-08,Mariä Empfängnis
2021-12-25,Christtag
2021-12-26,Stefanitag
2022-01-01,Neujahr
2022-01-06,Heilige drei Könige
2022-04-17,Ostersonntag
2022-04-18,Ostermontag
2022-05-01,Staatsfeiertag
2022-05-26,Christi Himmelfahrt
2022-06-05,Pfingstsonntag
2022-06-06,Pfingstmontag
2022-06-16,Fronleichnam
2022-08-15,Mariä Himmelfahrt
2022-10-26,Nationalfeiertag
2022-11-01,Allerheiligen
2022-12-08,Mariä Empfängnis
2022-12-25,Christtag
2022-12-26,Stefanitag
2023-01-01,Neujahr
2023-01-06,Heilige drei Könige
2023-04-09,Ostersonntag
2023-04-10,Ostermontag
2023-05-01,Staatsfeiertag
2023-05-18,Christi Himmelfahrt
2023-05-28,Pfingstsonntag
2023-05-29,Pfingstmontag
2023-06-08,Fronleichnam
2023-08-15,Mariä Himmelfahrt
2023-10-26,Nationalfeiertag
2023-11-01,Allerheiligen
2023-12-08,Mariä Empfängnis
2023-12-25,Christtag
2023-12-26,Stefanitag
2024-01-01,Neujahr
2024-01-06,Heilige drei Könige
2024-03-31,Ostersonntag
2024-04-01,Ostermontag
2024-05-01,Staatsfeiertag
2024-05-09,Christi Himmelfahrt
2024-05-19,Pfingstsonntag
2024-05-20,Pfingstmontag
2024-05-30,Fronleichnam
2024-08-15,Mariä Himmelfahrt
2024-10-26,Nationalfeiertag
2024-11-01,Allerheiligen
2024-12-08,Mariä Empfängnis
2024-12-25,Christtag
2024-12-26,Stefanitag
2025-01-01,Neujahr
2025-01-06,Heilige drei Könige
2025-04-20,Ostersonntag
2025-04-21,Ostermontag
2025-05-01,Staatsfeiertag
2025-05-29,Christi Himmelfahrt
2025-06-08,Pfingstsonntag
2025-06-09,Pfingstmontag
2025-06-19,Fronleichnam
2025-08-15,Mariä Himmelfahrt
2025-10-26,Nationalfeiertag
2025-11-01,Allerheiligen
2025-12-08,Mariä Empfängnis
2025-12-25,Christtag
2025-12-26,Stefanitag
2026-01-01,Neujahr
2026-01-06,Heilige drei Könige
2026-04-05,Ostersonntag
2026-04-06,Ostermontag
2026-05-01,Staatsfeiertag
2026-05-14,Christi Himmelfahrt
2026-05-24,Pfingstsonntag
2026-05-25,Pfingstmontag
2026-06-04,Fronleichnam
2026-08-15,Mariä Himmelfahrt
2026-10-26,Nationalfeiertag
2026-11-01,Allerheiligen
2026-12-08,Mariä Empfängnis
2026-12-25,Christtag
2026-12-26,Stefanitag
2027-01-01,Neujahr
2027-01-06,Heilige drei Könige
2027-03-28,Ostersonntag
2027-03-29,Ostermontag
2027-05-01,Staatsfeiertag
2027-05-06,Christi Himmelfahrt
2027-05-16,Pfingstsonntag
2027-05-17,Pfingstmontag
2027-05-27,Fronleichnam
2027-08-15,Mariä Himmelfahrt
2027-10-26,Nationalfeiertag
2027-11-01,Allerheiligen
2027-12-08,Mariä Empfängnis
2027-12-25,Christtag
2027-12-26,Stefanitag
2028-01-01,Neujahr
2028-01-06,Heilige drei Könige
2028-04-16,Ostersonntag
2028-04-17,Ostermontag
2028-05-01,Staatsfeiertag
2028-05-25,Christi Himmelfahrt
2028-06-04,Pfingstsonntag
2028-06-05,Pfingstmontag
2028-06-15,Fronleichnam
2028-08-15,Mariä Himmelfahrt
2028-10-26,Nationalfeiertag
2028-11-01,Allerheiligen
2028-12-08,Mariä Empfängnis
2028-12-25,Christtag
2028-12-26,Stefanitag
2029-01-01,Neujahr
2029-01-06,Heilige drei Könige
2029-04-01,Ostersonntag
2029-04-02,Ostermontag
2029-05-01,Staatsfeiertag
2029-05-10,Christi Himmelfahrt
2029-05-20,Pfingstsonntag
2029-05-21,Pfingstmontag
2029-05-31,Fronleichnam
2029-08-15,Mariä Himmelfahrt
2029-10-26,Nationalfeiertag
2029-11-01,Allerheiligen
2029-12-08,Mariä Empfängnis
2029-12-25,Christtag
2029-12-26,Stefanitag
2030-01-01,Neujahr
2030-01-06,Heilige drei Könige
2030-04-21,Ostersonntag
2030-04-22,Ostermontag
2030-05-01,Staatsfeiertag
2030-05-30,Christi Himmelfahrt
2030-06-09,Pfingstsonntag
2030-06-10,Pfingstmontag
2030-06-20,Fronleichnam
2030-08-15,Mariä Himmelfahrt
2030-10-26,Nationalfeiertag
2030-11-01,Allerheiligen
2030-12-08,Mariä Empfängnis
2030-12-25,Christtag
2030-12-26,Stefanitag
2031-01-01,Neujahr
2031-01-06,Heilige drei Könige
2031-04-13,Ostersonntag
2031-04-14,Ostermontag
2031-05-01,Staatsfeiertag
2031-05-22,Christi Himmelfahrt
2031-06-01,Pfingstsonntag
2031-06-02,Pfingstmontag
2031-06-12,Fronleichnam
2031-08-15,Mariä Himmelfahrt
2031-10-26,Nationalfeiertag
2031-11-01,Allerheiligen
2031-12-08,Mariä Empfängnis
2031-12-25,Christtag
2031-12-26,Stefanitag
